,HH Transcription,dhamma.stream transcripts,open ai whisper raw
20150310 - a1hh - Mindfulness.mp3,,,x
20150717 - a22hh - Some questions on anapanasati.mp3,,,x
20150823 - a23hh - Craving.mp3,,,x
20150909 - a2hh - Timelessness part 1.mp3,,,x
20150909 - a3hh - Timelessness part 2.mp3,,,x
20150910 - a4hh - Responding to an arisen problem.mp3,,,x
20160101 - a5hh - Authenticity.mp3,,,x
20160124 - a6hh - Significant I am.mp3,,,x
20160225 - a7hh - Establishing the mind.mp3,,,x
20160304 - a8hh - Senses and thought - Part 1.mp3,,,x
20160304 - a9hh - Senses and thought - Part 2.mp3,,,x
20160328 - a10hh - Proper attention.mp3,,,x
20160411 - a11hh - Designation.mp3,,,x
20160505 - a12hh - The holy life talk at Alugallena Cave - Part 1.mp3,,,x
20160506 - a13hh - The holy life talk at Alugallena Cave - Part 2.mp3,,,x
20160509 - a14hh - Practice of meditation talk at Lakegalla Forest.mp3,,,x
20160509 - a15hh - Wholesome and unwholesome talk at Lakegalla Forest.mp3,,,x
20160906 - a16hh - Assuming the senses.mp3,,,x
20160909 - a17hh - Discerning the mind.mp3,,,x
20160930 - a18hh - What is impermanence.mp3,,,x
20161212 - a19hh - Self and choice.mp3,,,x
20161219 - a20hh - The uncertainty of impermanence.mp3,,,x
20170112 - a44hh - QA - Part 1 - Actual and peripheral.mp3,,,x
20170112 - a45hh - QA - Part 2 - Path of understanding and authenticity.mp3,,,x
20170112 - a46hh - QA - Part 3 - Sign of the mind.mp3,,,x
20170213 - a21hh - Mindfulness of food.mp3,,,x
20170306 - a24hh - Facing existence.mp3,,,x
20170309 - a25hh - Developing the right view.mp3,,,x
20170318 - a26hh - Learning how to feel.mp3,,,x
20170328 - a27hh - The Meaning of nothingness.mp3,,,x
20170331 - a28hh - On the relationship between body and mind.mp3,,,x
20170406 - a29hh - Expanding on higher mind - MN 127.mp3,,,x
20170501 - a30hh - Seclusion from the senses - SN 22.95.mp3,,,x
20170514 - a34hh - Internal and external.mp3,,,x
20170514 - a35hh - Perceptions of forest.mp3,,,x
20170628 - a31hh - Sense restraint - Ud 1.10.mp3,,,x
20170704 - a32hh -Sexuality and celibacy - AN 1.1.mp3,,,x
20170705 - a33hh - All the taints - MN 2.mp3,,,x
20170721 - a36hh - Master of thoughts - MN 19.mp3,,,x
20170723 - a37hh - The destroyer of growth - MN 75.mp3,,,x
20170727 - a38hh - Pain of the pleasures - SN 36.5.mp3,,,x
20170814 - a39hh - Samiddhisutta - SN 1.20.mp3,,,x
20170821 - a40hh - In and of space.mp3,,,x
20171122 - a41hh - Nature of consciousness.mp3,,,x
20171127 - a42hh - Discerning the situation.mp3,,,x
20171130 - a43hh - Clarifying experience.mp3,,,x
20171221 - a47hh - Origination of four foundations of mindfulness - SN 47.42.mp3,,,x
20171227 - a48hh - The simile of the cook - SN 47.8.mp3,,,x
20171230 - a49hh - The four noble persons - AN 4.87-90.mp3,,,x
20180202 - a50hh - Bases of power.mp3,,,x
20180207 - a51hh - Breathing towards death.mp3,,,x
20180225 - a52hh - Dhamma principles.mp3,,,x
20180403 - 01hh - Can love be a path to happiness.mp3,,,
20180403 - 02hh - Why is celibacy important.mp3,,,
20180403 - 03hh - How to overcome the attachments.mp3,,,
20180403 - 04hh - Do we live only once.mp3,,,
20180403 - 05hh - Purpose of rules and precepts.mp3,x,,
20180410 - 06hh - Why is generosity good.mp3,,,
20180413 - a53hh - Beyond good and evil.mp3,,,
20180417 - 24hh - What is a real blessing.mp3,,,
20180506 - 26hh - How to solve all problems.mp3,,,
20180509 - 25hh - Definition of a fault.mp3,,,
20180516 - 27hh - Dealing with insults.mp3,,,
20180525 - 29hh - What is wisdom.mp3,x,,
20180604 - 37hh - Loving-kindness meditation.mp3,,,
20180610 - hh - How to calm my mind.mp3,,,x
20180614 - 07hh - THE UNMISTAKEN WAY - Part 1 - Sense restraint - AN 3.16.mp3,,,
20180618 - 10hh - No one wants sensuality.mp3,x,,
20180624 - 08hh - THE UNMISTAKEN WAY - Part 2 - Intent on wakefulness - AN 3.16.mp3,,,
20180702 - 28hh - Sense of shame and fear of wrongdoing.mp3,x,,
20180710 - 09hh - THE UNMISTAKEN WAY - Part 3 - Moderation in eating - AN 3.16.mp3,,,
20180718 - 34hh - Socially engaged Buddhism.mp3,,,
20180724 - 12hh - Meditation on the unattractive - AN 5.69.mp3,,,
20180807 - 30hh - The four noble truths.mp3,x,,
20180813 - 33hh - The noble silence.mp3,,,
20180903 - 32hh - Restlessness of mind.mp3,,,
20180906 - 13hh - DISCUSSIONS FROM A MOUNTAIN TOP #1.mp3,,,
20180909 - 11hh - Satisfying all desires.mp3,,,x
20180913 - 14hh - DISCUSSIONS FROM A MOUNTAIN TOP #2.mp3,,,
20180920 - 15hh - DISCUSSIONS FROM A MOUNTAIN TOP #3.mp3,,,
20180924 - On Nanavira Thera - Notes on Dhamma - Part 1 - Preface.mp3,,,
20180924 - On Nanavira Thera - Notes on Dhamma - Part 4 - Dhamma.mp3,,,
20180927 - 16hh - DISCUSSIONS FROM A MOUNTAIN TOP #4.mp3,,,
20181001 - On Nanavira Thera - Notes on Dhamma - Part 2 - Atakkavacara.mp3,,,
20181004 - 17hh - DISCUSSIONS FROM A MOUNTAIN TOP #5.mp3,,,
20181008 - On Nanavira Thera - Notes on Dhamma - Part 3 - Kamma.mp3,,,
20181011 - 18hh - DISCUSSIONS FROM A MOUNTAIN TOP #6.mp3,,x,
20181017 - On Nanavira Thera - Notes on Dhamma - Part 5 - Atta.mp3,,,
20181018 - 35hh - QA - Psychotherapy.mp3,,,
20181022 - On Nanavira Thera - Notes on Dhamma - Part 6 - Anicca.mp3,x,,
20181026 - 19hh - DISCUSSIONS FROM A MOUNTAIN TOP #7.mp3,,,
20181030 - On Nanavira Thera - Notes on Dhamma - Part 7 - Cetana.mp3,,,
20181101 - 36hh - QA - Peripheral awareness.mp3,,,
20181105 - 20hh - DISCUSSIONS FROM A MOUNTAIN TOP #8.mp3,,,
20181110 - On Nanavira Thera - Notes on Dhamma - Part 8 - Nibbana.mp3,,,
20181112 - 38hh - ON SUTTAS - Samadhi and jhana.mp3,,,
20181122 - 21hh - DISCUSSIONS FROM A MOUNTAIN TOP #9.mp3,,,
20181128 - 31hh - QA - Mood and actions.mp3,,,
20181202 - 42hh - QA - On Vipallasa Sutta - AN 4.49.mp3,,,
20181204 - 39hh - ON SUTTAS - On mindfulness of the body - Part 1.mp3,,,
20181209 - 40hh - ON SUTTAS - On mindfulness of the body - Part 2.mp3,,,
20181214 - 22hh - DISCUSSIONS FROM A MOUNTAIN TOP #10 - Lifestyle coices - SN 20.8.mp3,,,
20181216 - 41hh - GUIDED CONTEMPLATION - Awareness.mp3,x,,
20181220 - 46hh - ON SUTTAS - Stop trying to stop thinking.mp3,,,
20181224 - 44hh - QA - Happy Life.mp3,,,
20181230 - 48hh - ON SUTTAS - Do you see what is present - MN 38.mp3,,,
20190103 - 49hh - ON SUTTAS - Mindfulness of breathing - MN 118.mp3,,,
20190107 - 51hh - GUIDED CONTEMPLATION - At the old guards cave.mp3,x,,
20190110 - 47hh - ON SUTTAS - Solitude isnt optional - MN 150.mp3,,,
20190114 - 50hh - MEDITATION - Abiding in non-activity.mp3,,,
20190117 - 53hh - MEDITATION - The right kind of questioning - MN 40.mp3,,,
20190121 - 23hh - DISCUSSIONS FROM A MOUNTAIN TOP #11 - AN 2.5.mp3,,,
20190124 - 43hh - QA - Why should you meditate.mp3,,,
20190128 - 56hh - ON SUTTAS - Meditation is clarity of understanding - MN 121.mp3,,,
20190204 - 58hh - ON SUTTAS - It will not be mine - MN 106.mp3,,,
20190211 - 57hh - ON SUTTAS - Perception is already ignorant - MN 1.mp3,,,
20190217 - 52hh - MEDITATION - Vipassana and understanding the unwholesome.mp3,,,
20190219 - 54hh - MEDITATION - Stop wanting the wanting of sensuality.mp3,x,,
20190220 - 61hh - QA - The Dhamma is directly visible.mp3,,,
20190223 - 67hh - Comprehending the mindfulness of breathing.mp3,x,,
20190227 - 59hh - ON SUTTAS - The Danger of gratification - MN excerpts.mp3,,,
20190304 - 65hh - The existential context of mindfulness.mp3,,,
20190309 - 62hh - Its not the pain that makes you suffer.mp3,,,
20190317 - 66hh - GUIDED CONTEMPLATION - My self is not my own.mp3,,,
20190322 - 69hh - On Ajahn Chahs Still Flowing Water.mp3,,,
20190328 - 70hh - The stream-entry of Ajahn Chah.mp3,x,,
20190401 - 45hh - ON SUTTAS - The meaning of emptiness - MN 151.mp3,,,
20190404 - 64hh - Responsibility can free you from suffering.mp3,x,,
20190407 - 68hh - Ajahn Chahs die before you die.mp3,,,
20190411 - 63hh - Overcoming anxiety.mp3,x,,
20190428 - 75hh - Appointment with death (Marananussati) - Thag 6.13.mp3,x,,
20190504 - 73hh - Solitude amplifies the mind.mp3,,,
20190516 - 72hh - QA - Seeing the symptoms of your mind.mp3,,,
20190520 - 78hh - Letting go of your being - Ud 3.10.mp3,,,
20190524 - 76hh - Principle of paticcasamuppada in practice.mp3,,,
20190528 - 77hh - Look at the context not the object of your attention.mp3,,,
20190603 - 74hh - Dont be afraid to question yourself - Dhp 11-12.mp3,,,
20190606 - 79hh - Brief instruction on overcoming depression.mp3,x,,
20190610 - On Nanavira Thera - Notes on Dhamma - Part 9 - A Note on paticcasamuppada.mp3,,,
20190613 - 71hh - Ajahn Chah and the original mind.mp3,x,,
20190616 - 80hh - The island of safety.mp3,,,
20190620 - 80hh - GUIDED CONTEMPLATION - Anger.mp3,x,,
20190626 - 81hh - Not holding to fixed views is a view that is fixed.mp3,,,
20190703 - 82hh - GUIDED CONTEMPLATION - Why do I meditate.mp3,,,
20190710 - 83hh - Dont be faithful to ignorance.mp3,,,
20190719 - 85hh - Do you feel safe.mp3,,,
20190724 - 84hh - Faith can blind you.mp3,,,
20190726 - 86hh - QA - On dealing with hindrances nature of the sense of self.mp3,,,
20190729 - 123hh - ON SUTTAS - Acting out of ones emotions - SN 12.25.mp3,,,
20190804 - 94hh - QA - On loving-kindness practice.mp3,,,
20190808 - 128hh - DISCUSSIONS FROM A MOUNTAIN TOP #12 - On endurance timelessness in practice rebirth and abandoning of yourself - SN 12.70.mp3,,,
20190814 - 127hh - DISCUSSIONS FROM A MOUNTAIN TOP #13 - On motivation mindfulness done properly and dhamma interrogation.mp3,,,
20190818 - 98hh - The only 3 things youll ever need for the complete practice.mp3,,,
20190822 - 121hh - Enduring the dhamma interrogation - AN 2.47.mp3,,,
20190829 - 120hh - Dhamma interrogation of eye atta and sense of ownership.mp3,,,
20190831 - 107hh - Why focusing meditations are wrong.mp3,,x,
20190906 - 90hh - Why did the Buddha say sensuality to be an assumption - MN 75.mp3,,,
20190909 - 91hh - QA - On faith and friendship.mp3,,,
20190911 - 104hh - Right meditation is not observation.mp3,,,
20190914 - 89hh - Reversing of the pleasure that is actually painful.mp3,,,
20190918 - 119hh - Ask yourself could you suffer if things dont change - MN 13.mp3,,,
20190921 - 110hh - Danger is in change not in things changing.mp3,,,
20190927 - 108hh - True meaning of anicca.mp3,,,
20190930 - 115hh - How to enter the first jhana.mp3,,,
20191004 - 124hh - Where is my mind only 4 kinds of thoughts needed for full awakening.mp3,,,
20191009 - 105hh - Samatha vs vipassana purpose of the better technique.mp3,,,
20191013 - 122hh - Why are you not an arahant yet interrogation of the meaning.mp3,,,
20191016 - 112hh - Recollectedness of breathing revisiting anapanasati meditation practice.mp3,,,
20191024 - 102hh - GUIDED CONTEMPLATION - Interrogation of the body.mp3,,,
20191027 - 103hh - NOBLE METHOD - Beginners guide to dependent origination in practice - SN 12.41.mp3,,,
20191030 - 113hh - Overcoming attachments how to step outside of Maras domain - SN 4.19.mp3,,,
20191107 - 96hh - How to be happy simple steps towards lasting contentment.mp3,,,
20191111 - 118hh - You cant enter jhana jnana enters you.mp3,,,
20191116 - 116hh - Take your mind out of your mouth method for the first jhana.mp3,,,
20191123 - 111hh - How to overcome your personality without destroying it the nature of sakkaya ditthi - MN 44.mp3,,,
20191127 - 100hh - Beginners guide to contemplating the body - MN 74.mp3,,,
20191201 - 125hh - Can you think anything other than a thought the 4th satipatthana in practice.mp3,,,x
20191208 - 101hh - Recollectedness of the body another way - Ud 7.8.mp3,,,
20191212 - 117hh - Pervading the body of jhana - MN 39.mp3,,,
20191215 - 97hh - You are responsible for what you are.mp3,,,
20191216 - 131hh - Even being a layman does not justify your sensuality.mp3,x,,
20191218 - 88hh - Not acting out of your feelings.mp3,,,
20191219 - 129hh - How to be mindful of your forgetfulness.mp3,,,
20191222 - 92hh - The noble friendship and what it actually means - SN 3.18.mp3,,,
20200101 - 95hh - QA - Practice for Laypeople.mp3,,,
20200106 - 99hh - The emotional proliferation The Honeyball Sutta - MN 18.mp3,,,
20200108 - 114hh - Jhana is a state of being.mp3,,,
20200111 - 131hh - Tranquil energy.mp3,,,
20200116 - 126hh - Difference between consciousness mind and thoughts.mp3,,,
20200120 - 130hh - Be like earth - MN 62.mp3,,,
20200124 - 93hh - Spreading friendliness - AN 5.161.mp3,,x,
20200127 - 106hh - The correct method of vipassana - SN 35.153.mp3,,,
20200131 -  87hh - Your feelings are not in you.mp3,,,
20200208 - 132hh - Why pain makes you suffer dhamma interrogation.mp3,,,
20200213 - 133hh - Turn your world upside down - SN 3.30.mp3,,,
20200216 - 134hh - Everything pressures you.mp3,,,
20200225 - 135hh - Laypersons progress in dhamma.mp3,,,
20200229 - 136hh - How to find the right teacher.mp3,,,
20200303 - 137hh - Practice of metta meat eating and dispassion - MN 55.mp3,,,
20200306 - 139hh - Sense restraint is not just for monks.mp3,,,
20200311 - 138hh - What makes you a stream-enterer - MN 48.mp3,,,
20200314 - 140hh - There is no love in loving-kindness - On Brahmaviharas - Part 1.mp3,,,
20200316 - 141hh - Non-malice and non-retaliation - On Brahmaviharas - Part 2.mp3,,,
20200319 - 142hh - Do you have a fault-finding mind - On Brahmaviharas - Part 3.mp3,,,
20200327 - 143hh - Nibbana absence of desire towards beautiful self interrogation.mp3,,,
20200331 - 144hh - Guaranteed results of your practice.mp3,,,
20200404 - 145hh - The right starvation - MN 8.mp3,,,
20200408 - 146hh - Unwholesomeness of relationships.mp3,,,
20200413 - 147hh - From a layman to an arahant.mp3,,,
20200416 - 149hh - Dont wait until its too late.mp3,,,
20200420 - 148hh - Metta sutta can make you an arahant - Sn 1.8.mp3,,,
20200425 - 150hh - Sense pleasures make you an addict.mp3,x,,
20200430 - 151hh - Time to face your feelings anger and sensuality.mp3,,,
20200505 - 152hh - Craving the end of craving consciousness and knowing the senses.mp3,,,
20200509 - 153hh - The diversity of sensual desires and pressure - AN 6.63.mp3,,,
20200512 - 154hh - Abandoning of sensuality is what meditation is - MN 108.mp3,,x,
20200516 - 155hh - You dont need to say no to everything.mp3,x,,
20200523 - 156hh - Stop thinking that you can stop thinking.mp3,,,
20200528 - 157hh - Are you hunted down by your own emotions.mp3,x,,
20200601 - 158hh - Timeless Dhamma.mp3,,,
20200605 - 160hh - The five knowledges of the limitless samadhi - AN 5.27.mp3,,,
20200610 - 159hh - Not blaming the circumstances.mp3,,,
20200616 - 161hh - Difference between ariya and puthujjana - SN 36.1-10.mp3,,,
20200620 - 162hh - Why you shouldnt delight in company - AN 6.68.mp3,,,
20200623 - 163hh - Delusion delusion.mp3,,,
20200707 - 164hh - Noble method for stream entry.mp3,,,
20200714 - 165hh - Detailed analysis of the fire sermon - SN 35.28.mp3,,,
20200721 - 166hh - How to overcome things that bother you - Thag 16.5.mp3,,,
20200728 - 167hh - ON SUTTAS - The useful anxiety - AN 1.576-582.mp3,,,
20200804 - 168hh - Looking for a bigger picture importance of precepts.mp3,x,,
20200811 - 169hh - Context of your suffering - MN 121.mp3,x,,
20200818 - 170hh - QA - How to develop the attitude of solitude.mp3,x,x,
20200825 - 171hh - Developing the right kind of perceptions - Part 1 - Beautiful side of ugly living side of death - AN 7.49.mp3,x,,
20200901 - 172hh - 9 things you should be incapable of - AN 1.268-276.mp3,,,
20200908 - 173hh - Developing the right kind of perceptions - Part 2 - Dukkha in anicca anatta in dukkha - AN 7.49.mp3,x,,
20200915 - 174hh - Undefiled by the defilements - AN 1.45.mp3,,,
20200922 - 175hh - Let only bones and sinews remain - AN 2.12.mp3,,,
20200929 - 176hh - Emotionally undisturbed.mp3,,,
20201005 - 177hh - Angry loving-kindness - AN 6.13.mp3,,,
20201013 - 178hh - How to train gradually.mp3,,,
20201020 - 179hh - Vipers murderers and intimate friends - SN 35.238.mp3,,,
20201027 - 180hh - ON SUTTAS - Right way of striving - AN 4 excerpts.mp3,,,
20201103 - 181hh - How to sustain your mindfulness.mp3,,,
20201110 - 182hh - Death of your personality.mp3,,,
20201117 - 183hh - Becoming an immovable object.mp3,x,,
20201124 - 184hh - Is your dhamma abstract or practical - AN 8.53.mp3,,,
20201201 - 185hh - GUIDED CONTEMPLATION - Samsara is directly visible.mp3,x,x,
20201208 - 186hh - ON SUTTAS - Like a blind or a deaf man - MN 152.mp3,,,
20201215 - 187hh - QA - Criteria for choosing a teacher.mp3,,,
20201218 - 188hh - QA - Is forgiveness necessary.mp3,,,
20201222 - 189hh - QA - How to judge others and yourself.mp3,,,
20201229 - 190hh - The fetter of meditation methods.mp3,,x,
20210105 - 191hh - Practical guide to kasina meditation.mp3,,,
20210112 - 192hh - Freedom begins with the stream entry.mp3,,,
20210119 - 193hh - Anxiety and comfort zone.mp3,,x,
20210126 - 194hh - QA - Ajahn Nyanamoli and Samanadipa.mp3,,,
20210202 - 195hh - Wise attention misunderstanding of yoniso manasikara.mp3,,,
20210209 - 196hh - Scratching the itch.mp3,,,
20210216 - 197hh - Can a layman be an arahant.mp3,,,x
20210223 - 198hh - In the seen just the seen - Thag 16.5.mp3,x,,
20210304 - 199hh - The uprooting of your suffering.mp3,,x,
20210316 - 200hh - Gateway to nibbana.mp3,x,,
20210324 - 201hh - QA - On peripheral awareness uprooting of anger dealing with displeasure.mp3,,,
20210330 - 202hh - Nibbana is the ultimate uncertainty - SN 22.55 AN 6.19 MN 137 MN 44 AN 7.50.mp3,x,,
20210406 - 203hh - The truth about the five hindrances - AN 9.64 AN 3.63 MN 75 MN 39 SN 12.66.mp3,x,,
20210414 - 204hh - The six sensed animal - SN 35.247 MN 19 MN 20.mp3,x,,
20210424 - 205hh - Jhana is a lifestyle - MN 107.mp3,x,,
20210501 - 206hh - Pleasure of non-activity - Thag 19.1 AN 3.68 SN 9.10 SN 21.4 SN 35.240.mp3,x,,
20210513 - 207hh - The danger contemplation - SN 35.244 MN 25.mp3,,,
20210530 - 208hh - Developed in the body and the mind - MN 36.mp3,,,
20210607 - 209hh - The simile of the wet sticks -  MN 36.mp3,x,,
20210614 - 210hh - How to let go.mp3,x,,
20210620 - 211hh - The pain of doubt - MN 53.mp3,,x,
20210627 - 212hh - How to be happy.mp3,x,,
20210703 - 213hh - How to calm your mind - SN 54.9.mp3,x,,
20210708 - 214hh - QA - On jhana anxiety precepts.mp3,,x,
20210714 - 215hh - Mindfulness of breathing and calming of aversion - SN 54.6 MN 62.mp3,x,,
20210719 - 216hh - Jhana is virtue.mp3,,,
20210723 - 217hh - Right speech right samadhi.mp3,,,
20210729 - 218hh - When metta isnt working.mp3,,,
20210803 - 219hh - QA - On persistence failure inner critic and sense of urgency.mp3,,,
20210807 - 220hh - The pressure of sensuality.mp3,,,
20210811 - 221hh - Accomplished in virtue.mp3,,,
20210815 - 222hh - Putting the body first - MN 1 SN 35.197 Thag 6.9 SN 35.12 SN 35.108.mp3,,x,
20210823 - 223hh - Practice of generosity.mp3,x,x,
20210827 - 224hh - Practical impermanence.mp3,,,
20210901 - 225hh - No joy no misery.mp3,,,
20210905 - 226hh - Citta vs dhamma wrong views and types of dukkha.mp3,,,
20210910 - 227hh - Dealing with change.mp3,,x,
20210915 - 228hh - Do I have the right view.mp3,,,
20210919 - 229hh - Calming the pain not avoiding it.mp3,x,,
20210924 - 230hh - Stilling of all activities.mp3,x,x,
20211001 - 231hh - Sensuality vs agreeability.mp3,,,
20211002 - hh - QA - On meditation precepts responsibility.mp3,,,
20211011 - 232hh - Dhamma Is reachable practical and verifiable.mp3,,x,
20211014 - 233hh - Practical asceticism.mp3,,,
20211021 - 234hh - Practice without results is not the practice.mp3,,,
20211026 - 235hh - Escape from the body.mp3,x,,
20211104 - 236hh - Desire to end desire.mp3,x,,
20211109 - 237hh - Dealing with the loss.mp3,,,
20211115 - 238hh - Being contented.mp3,,,
20211118 - 239hh - Relieving the pressure of restraint.mp3,,,
20211121 - 240hh - Mental strength.mp3,,,
20211124 - 241hh - Importance of reading the suttas.mp3,,,
20211127 - 242hh - Cessation of emotions.mp3,,,
20211130 - 243hh - QA - with a lay Buddhist group from Slovenia.mp3,,,
20211205 - 244hh - Is belief in rebirth necessary - MN 60.mp3,,,
20211209 - 245hh - QA - On meditation right view other teachers peripheral awareness.mp3,,,
20211216 - 246hh - Seeing your own mind - AN 6.68 SN 47.8.mp3,,,
20211222 - 247hh - Discerning the body for uprooting of sensuality.mp3,x,,
20211228 - 248hh - Practice of gratitude and repaying ones parents.mp3,,,
20220108 - 249hh - On birth borrowing whats not yours responsibility.mp3,,x,
20220113- 250hh - Be an island to yourself.mp3,,,
20220118 - 251hh - Practical understanding of rupa.mp3,,,
20220123 - 252hh - Monkey Trap Sutta - SN 47.7.mp3,,,
20220128 - 253hh - Perception of anicca.mp3,,,
20220203 - 254hh - Perception of dispassion - AN 10.60 MN 14.mp3,,,
20220208 - 255hh - QA - Metta Goenka death and samadhi.mp3,,,
20220214 - 256hh - Seven factors of enlightenment - SN 46.3.mp3,,,
20220222 - 257hh - Only the noble truth of pain - SN 56.11.mp3,x,,
20220304 - 258hh - Simile of the sons flesh - SN 12.63 SN 56.35.mp3,x,,
20220314 - 259hh - Four kinds of loss - MN 82.mp3,,,
20220323 - 260hh - QA - On war precepts contemporary meditations and right calmness.mp3,,,
20220402 - 261hh - Danger and escape.mp3,,,
20220412 - 262hh - QA - On Buddhist basics guide for lay practice and right speech.mp3,,,
20220422 - 263hh - Harmony and perfect community - AN 3.96.mp3,,,
20220507 - 264hh - How virtue leads to effortless samadhi - SN 39.16.mp3,,,
20220513 - 265hh - Four foundations of mindfulness to enter jhana - MN 125.mp3,,,
20220520 - 266hh - Moderation is not the middle way - SN 56.11 .mp3,,,
20220526 - 267hh - What is the gratification of desires.mp3,,,
20220601 - 268hh - Dont go by majority and tradition - AN 3.65.mp3,,x,
20220607 - 269hh - Jhana comes only after renunciation - MN 19.mp3,,,
20220613 - 270hh - Metta in brief - SN 20.4.mp3,,,
20220620 - 271hh - Become a master of your thoughts - MN 20.mp3,,,
20220627 - 272hh - A brief reminder on hindrances.mp3,,,
20220701 - 273hh - Dont lie to yourself - MN 117.mp3,,x,
20220707 - 274hh - Is becoming a monk or nun necessary.mp3,,x,
20220712 - 275hh - Give up jhana to enter jhana.mp3,,,
20220718 - 276hh - Suffering is always on you.mp3,,,
20220725 - 277hh - How your duty can hinder you.mp3,,,
20220808 - 278hh - The end of kamma.mp3,,,
20220813 - 279hh - Completing all the work.mp3,,,
20220816 - 280hh - Group interrogation on various aspects of dhamma practice.mp3,,,
20220822 - 281hh - Abundant theory lack of endurance.mp3,,x,
20220826 - 282hh - Group interrogation on everything.mp3,,,
20220905 - 283hh - Death Uncertainty and Aversion to Pain.mp3,,,
20220913 - 284hh - The meaning of right samadhi - AN 5.179.mp3,,,
20220921 - 285hh - The extent of the danger.mp3,,,
20220927 - 286hh - The mind cleansing method.mp3,,,
20221003 - 287hh - How to abandon the self view - MN 38 MN 62.mp3,,,
20221010 - 288hh - Young monks celibacy - SN 35.127.mp3,,,
20221015 - 289hh - How to get the right view.mp3,,,
20221020 - 290hh - A definitive guide to seeing your mind.mp3,,,
20221026 - 291hh - Mind self inflicting.mp3,,,x
